,hhincome
11133,33600.0
11136,23448.0
11137,123100.0
11143,78903.0
11155,66300.0
11158,70050.0
11193,42068.0
11194,2302.0
11204,33063.0
11205,22737.0
11208,43320.0
11234,100410.0
11237,20009.0
11240,10801.0
11241,25687.0
11244,45715.0
11247,13633.0
11248,26802.0
11249,59773.0
11255,28568.0
11265,44650.0
11287,10969.0
11307,65001.0
11308,16001.0
11309,34000.0
11310,38000.0
11311,2041.0
11312,33240.0
11318,74051.0
11319,0.0
11322,18876.0
11329,0.0
11330,40000.0
11331,21000.0
11332,40000.0
11358,31200.0
11359,16442.0
11369,12841.0
11379,60120.0
11382,60815.0
11394,39202.0
11395,21000.0
11407,26000.0
11408,34413.0
11419,120100.0
11440,30001.0
11441,29144.0
11442,0.0
11476,10297.0
11477,8001.0
11478,11185.0
11479,15015.0
11483,47003.0
11493,34070.0
11501,9500.0
11502,3468.0
11512,11042.0
11533,10510.0
11545,14930.0
11546,9151.0
11562,89265.0
11567,38120.0
11568,35005.0
11599,30000.0
11604,5.0
11607,820000.0
11612,86513.0
11613,30661.0
11617,0.0
11633,0.0
11643,33241.0
11651,20000.0
11671,72001.0
11672,120000.0
11673,35000.0
11681,46766.0
11755,28094.0
11762,15750.0
11773,130.0
11801,28655.0
11809,34848.0
11810,65199.0
11811,108276.0
11812,0.0
11813,12181.0
11814,69530.0
11815,92400.0
11816,22922.0
11831,144502.0
11838,20000.0
11839,63662.0
11840,101256.0
11841,91413.0
11845,31200.0
11849,35616.0
11850,17641.0
11851,12000.0
11856,102010.0
11868,2.0
11886,128436.0
11887,59364.0
11888,13009.0
11897,86800.0
11900,18010.0
11905,78000.0
11906,52261.0
11909,20172.0
11910,157130.0
11911,50700.0
11923,26184.0
11929,200.0
11947,212377.0
11960,15000.0
11988,80031.0
11991,55600.0
12000,126005.0
12001,86885.0
12002,35050.0
12011,12481.0
12012,0.0
12018,15000.0
12030,11004.0
12033,20001.0
12052,162000.0
12053,19701.0
12057,178787.0
12061,60000.0
12082,23040.0
12086,3000.0
12087,23040.0
12088,80000.0
12089,36200.0
12090,172200.0
12102,4888.0
12103,75388.0
12104,100008.0
12107,185500.0
12108,95251.0
12117,75000.0
12118,17000.0
12125,76926.0
12126,19178.0
12148,25500.0
12174,51706.0
12175,30061.0
12180,151320.0
12185,170025.0
12186,155300.0
12187,14041.0
12198,8320.0
12203,100000.0
12204,201476.0
12205,15241.0
12206,15373.0
12212,18346.0
12213,125586.0
12221,85202.0
12225,19273.0
12228,2200.0
12238,141100.0
12239,14400.0
12249,24936.0
12271,48988.0
12272,88496.0
12323,5240.0
12332,31804.0
12333,11424.0
12334,15200.0
12390,54000.0
12391,17292.0
12392,10800.0
12399,48001.0
12400,3660.0
12401,22696.0
12412,121501.0
12419,34440.0
12426,0.0
12427,6400.0
12446,60000.0
12464,16921.0
12469,47000.0
12470,18841.0
12471,4105.0
12504,75000.0
12505,32000.0
12506,75000.0
12507,90001.0
12512,127860.0
12523,99210.0
12524,351.0
12538,15481.0
12539,131121.0
