,hhincome
20108,58922
20120,20805
20163,94726
20164,151002
20185,32901
20256,106077
20257,65939
20262,103225
20280,83239
20296,48050
20299,150100
20321,35000
20322,30000
20333,43508
20334,36061
20338,56250
20345,33280
20346,18900
20359,27000
20394,76486
20395,77512
20407,79086
20415,89055
20422,80292
20423,60103
20440,472270
20449,76330
20450,56047
20451,20005
20452,46660
20464,92773
20484,60002
20487,0
20488,160024
20510,48020
20511,4435
20517,38008
20531,22020
20542,72020
20560,27070
20561,5760
20573,60041
20574,87510
20575,71095
20578,43009
20581,0
20582,27300
20594,158408
20599,66261
20628,197000
20633,23685
20634,31401
20656,4516
20688,50351
20697,52922
20698,82152
20699,40000
20700,157240
20701,21
20702,24378
20705,255012
20706,90230
20711,55013
20714,45000
20715,13021
20716,19208
20717,194570
20721,55000
20728,0
20733,66679
20738,50941
20746,74456
20747,0
20748,0
20749,115735
20752,21477
20762,9780
20787,79159
20791,16591
20796,133108
20800,42044
20803,44199
20814,7001
20823,39000
20824,21401
20825,55905
20830,149014
20833,14329
20837,76321
20850,16800
20868,70061
20887,13368
20888,32160
20889,30012
20890,48000
20903,118056
20925,87078
20942,43000
20975,89740
20982,24480
20983,18000
20988,45100
21001,66015
21002,28801
21015,45000
21018,13200
21019,12552
21020,71285
21023,0
21041,12841
21046,17858
21059,11641
21067,35000
21068,67000
21069,98402
21070,11791
21074,1
21077,23918
21083,0
21084,26270
21085,5000
21086,28926
21087,42266
21090,60011
21091,33126
21097,11593
21109,26521
21112,11556
21113,10560
21130,14221
21131,71001
21132,63165
21150,58742
21151,23857
21157,124806
21162,13561
21163,12000
21189,45804
21190,25036
21211,17929
21216,40000
21228,51975
21239,241585
21242,18984
21243,63693
21244,120515
21248,42109
21267,64615
21268,47949
21285,76392
21286,41602
21287,38600
21325,10000
21326,146016
21331,32136
21348,59516
21357,163932
21358,111460
21378,36640
21379,11000
21403,75012
21416,10515
21424,99500
21438,190030
21439,15153
21444,75045
21445,34801
21471,11332
21472,13092
21479,22581
21480,45529
21481,30581
21485,82000
21486,60446
21491,55000
21500,78407
21504,35001
21507,40810
21535,80011
21536,25583
21579,42197
